Status, Node, Focus, State, Sensor Capabilities
reporting,H00B,Training & Dev,Illinois (IL),""
reporting,H010,Rural,Hawaii (HI),""
reporting,H013,Rural,Hawaii (HI),""
reporting,H01D,Training & Dev,Illinois (IL),""
reporting,H01E,Training & Dev,Illinois (IL),""
reporting,H01F,Training & Dev,Illinois (IL),""
reporting,H020,Training & Dev,Illinois (IL),""
reporting,H021,Training & Dev,Illinois (IL),""
not reporting,H022,Training & Dev,Illinois (IL),""
reporting,H023,Training & Dev,Illinois (IL),""
reporting,H02A,Training & Dev,Illinois (IL),""
reporting,H02C,Training & Dev,Illinois (IL),""
reporting,H02D,Training & Dev,Illinois (IL),""
reporting,H02E,Training & Dev,Illinois (IL),""
reporting,H02F,Training & Dev,Illinois (IL),""
reporting,H030,Training & Dev,Illinois (IL),""
reporting,H031,Training & Dev,Illinois (IL),""
reporting,H032,Training & Dev,Illinois (IL),""
reporting,H033,Training & Dev,Illinois (IL),""
reporting,H034,Training & Dev,Illinois (IL),""
reporting,H035,Training & Dev,Illinois (IL),""
reporting,H037,Training & Dev,Illinois (IL),""
not reporting,H038,Training & Dev,Illinois (IL),""
reporting,H039,Training & Dev,Illinois (IL),""
reporting,H03A,Training & Dev,Illinois (IL),""
reporting,H03B,Training & Dev,Illinois (IL),""
reporting,H03C,Training & Dev,Illinois (IL),""
reporting,H03D,Training & Dev,Illinois (IL),""
reporting,H03E,Training & Dev,Illinois (IL),""
reporting,H03F,Training & Dev,Illinois (IL),""
reporting,H040,Training & Dev,Illinois (IL),""
reporting,H041,Training & Dev,Illinois (IL),""
reporting,H042,Training & Dev,Illinois (IL),""
reporting,H043,Training & Dev,Illinois (IL),""
reporting,W01B,Rural,Illinois (IL),"Accelerometer, Camera, GPS, Gas, Gyroscope, Humidity, Microphone, Particulate Matter, Precipitation, Pressure, Solar Charge Controller, Temperature, Thermal Camera, Typically Internal, Wind"
reporting,W020,Rural,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Particulate Matter, Precipitation, Pressure, Temperature, Thermal Camera, Wind"
not reporting,W056,Urban,,""
not reporting,W069,Rural,Hawaii (HI),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Solar Charge Controller, Temperature, Thermal Camera, Wind, lorawan"
not reporting,W071,Urban,Hawaii (HI),"Camera, GPS, Gas, Humidity, Microphone, Particulate Matter, Precipitation, Pressure, Temperature, Thermal Camera, Wind"
reporting,W08B,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind"
not reporting,W08D,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind, lorawan"
not reporting,W08E,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind, lorawan"
reporting,W095,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind"
reporting,W096,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind, lorawan"
not reporting,W097,Rural,Hawaii (HI),"Camera, GPS, Gas, Humidity, Microphone, Particulate Matter, Precipitation, Pressure, Temperature, Thermal Camera, Wind, lorawan"
not reporting,W098,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
reporting,W099,Urban,Illinois (IL),"Biological, Camera, Chemical, GPS, Gas, Humidity, Ionic, Microphone, Moisture, Particulate Matter, Physical, Precipitation, Pressure, Temperature, Water Quality, Wind, lorawan"
not reporting,W09A,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
not reporting,W09B,Urban,Illinois (IL),"GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
not reporting,W09C,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
not reporting,W09D,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind"
reporting,W09E,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind"
not reporting,W09F,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature, lorawan"
reporting,W0A0,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind, lorawan"
not reporting,W0A1,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind, lorawan"
not reporting,W0A2,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
not reporting,W0A3,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
reporting,W0A4,Urban,Illinois (IL),"Camera, GPS, Gas, Humidity, Microphone, Moisture, Particulate Matter, Precipitation, Pressure, Temperature, Wind"
not reporting,W0A5,Urban,,"Camera, GPS, Gas, Humidity, Microphone, Precipitation, Pressure, Temperature"
